id,description,chart_template_id:id,type_tax_use,name,amount_type,amount,account_id:id,refund_account_id:id,children_tax_ids:id,tag_ids:id,tax_group_id:id
tax0sale,EX,l10n_ve,sale,IVA Ventas EX,percent,0,210501,210501,,tag_iva_EX_ventas,tax_group_iva_EX
tax1sale,RD,l10n_ve,sale,IVA Ventas RD,percent,8,210501,210501,,tag_iva_RD_ventas,tax_group_iva_RD
tax2sale,GN,l10n_ve,sale,IVA Ventas GN,percent,12,210501,210501,,tag_iva_GN_ventas,tax_group_iva_GN
tax3sale,S1,l10n_ve,sale,IVA Ventas S1,percent,22,210501,210501,,tag_iva_S1_ventas,tax_group_iva_S1
tax0purchase,EX,l10n_ve,purchase,IVA Compras EX,percent,0,110501,110501,,tag_iva_EX_compras,tax_group_iva_EX
tax1purchase,RD,l10n_ve,purchase,IVA Compras RD,percent,8,110501,110501,,tag_iva_RD_compras,tax_group_iva_RD
tax2purchase,GN,l10n_ve,purchase,IVA Compras GN,percent,12,110501,110501,,tag_iva_GN_compras,tax_group_iva_GN
tax3purchase,S1,l10n_ve,purchase,IVA Compras S1,percent,22,110501,110501,,tag_iva_S1_compras,tax_group_iva_S1
