id,description,chart_template_id:id,type_tax_use,name,amount_type,amount,account_id:id,refund_account_id:id,children_tax_ids:id,tag_ids:id,tax_group_id:id
tax0sale,EX 0%,venezuela_chart_template_nif,sale,Exento Ventas,percent,0,210501,210501,,tag_exento_ventas,tax_group_iva_0
tax1sale,RD 8%,venezuela_chart_template_nif,sale,IVA 08% Ventas,percent,8,210501,210501,,tag_iva_8_ventas,tax_group_iva_8
tax2sale,GN 12%,venezuela_chart_template_nif,sale,IVA 12% Ventas,percent,12,210501,210501,,tag_iva_12_ventas,tax_group_iva_12
tax3sale,S1 22%,venezuela_chart_template_nif,sale,IVA 22% Ventas,percent,22,210501,210501,,tag_iva_22_ventas,tax_group_iva_22
tax0purchase,EX 0%,venezuela_chart_template_nif,purchase,Exento Compras,percent,0,110501,110501,,tag_exento_compras,tax_group_iva_0
tax1purchase,RD 8%,venezuela_chart_template_nif,purchase,IVA 08% Compras,percent,8,110501,110501,,tag_iva_8_compras,tax_group_iva_8
tax2purchase,GN 12%,venezuela_chart_template_nif,purchase,IVA 12% Compras,percent,12,110501,110501,,tag_iva_12_compras,tax_group_iva_12
tax3purchase,S1 22%,venezuela_chart_template_nif,purchase,IVA 22% Compras,percent,22,110501,110501,,tag_iva_22_compras,tax_group_iva_22
